C1=CC=C(C=C1)C(CN)O	[Compound(1000)]	2-amino-1-phenylethanol
CC[C@H](C)[C@@H](C(=NCC(=N[C@@H](CCCCN)C(=N[C@@H](CC1=CC=CC=C1)C(=N[C@@H](CC(C)C)C(=N[C@@H](CCCCN)C(=N[C@@H](CCCCN)C(=N[C@@H](C)C(=N[C@@H](CCCCN)C(=N[C@@H](CCCCN)C(=N[C@@H](CC2=CC=CC=C2)C(=NCC(=N[C@@H](CCCCN)C(=N[C@@H](C)C(=N[C@@H](CC3=CC=CC=C3)C(=N[C@@H](C(C)C)C(=N[C@@H](CCCCN)C(=N[C@@H]([C@@H](C)CC)C(=N[C@@H](CC(C)C)C(=N[C@@H](CCCCN)C(=N[C@@H](CCCCN)C(=N)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)N=C(CN)O	[Compound(101037910)]	(2S)-6-amino-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[2-[[(2S,3S)-2-[(2-amino-1-hydroxyethylidene)amino]-1-hydroxy-3-methylpentylidene]amino]-1-hydroxyethylidene]amino]-1-hydroxyhexylidene]amino]-1-hydroxy-3-phenylpropylidene]amino]-1-hydroxy-4-methylpentylidene]amino]-1-hydroxyhexylidene]amino]-1-hydroxyhexylidene]amino]-1-hydroxypropylidene]amino]-1-hydroxyhexylidene]amino]-1-hydroxyhexylidene]amino]-1-hydroxy-3-phenylpropylidene]amino]-1-hydroxyethylidene]amino]-1-hydroxyhexylidene]amino]-1-hydroxypropylidene]amino]-1-hydroxy-3-phenylpropylidene]amino]-1-hydroxy-3-methylbutylidene]amino]-1-hydroxyhexylidene]amino]-1-hydroxy-3-methylpentylidene]amino]-1-hydroxy-4-methylpentylidene]amino]-1-hydroxyhexylidene]amino]hexanimidic acid
C1=CC=C(C=C1)C[C@@H](C(=O)O)NCC2([C@H]([C@@H]([C@H](O2)CO)O)O)O	[Compound(101039148)]	(2S)-3-phenyl-2-[[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methylamino]propanoic acid
CCCCCCCCCCCC/C=C\CC[C@H]([C@@H](CCCCCCCCCCCCCCC1=C[C@@H](OC1=O)C)O)O	[Compound(101058964)]	(2S)-4-[(Z,15R,16R)-15,16-dihydroxydotriacont-19-enyl]-2-methyl-2H-furan-5-one
CCCCCCOC(=O)C1=CC=CC=C1C(=O)C2=C(C=C(C=C2)N(CC)CC)O	[Compound(10111431)]	hexyl 2-[4-(diethylamino)-2-hydroxybenzoyl]benzoate
C[C@H]1C[C@@]2([C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC[C@H]2C(C1)(C)C)C)C)(C)C)O)C)C	[Compound(101124567)]	(3S,4aR,6aR,6aR,6bR,8aS,11R,12aS,14aR,14bR)-4,4,6a,6b,9,9,11,12a,14b-nonamethyl-1,2,3,4a,5,6,6a,7,8,8a,10,11,12,13,14,14a-hexadecahydropicen-3-ol
CSCCCCC[C@@H](C(=O)O)N	[Compound(101140117)]	(2S)-2-amino-7-methylsulfanylheptanoic acid
C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)OC(=O)OCC8COC(O8)(C)C)OC)O)O	[Compound(101163123)]	[4-[(5S,5aR,8aR,9R)-5-[[(2R,4aR,6R,7R,8R,8aS)-7,8-dihydroxy-2-methyl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-8-oxo-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-9-yl]-2,6-dimethoxyphenyl] (2,2-dimethyl-1,3-dioxolan-4-yl)methyl carbonate
C1=CC=C(C=C1)CCNC(=S)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N	[Compound(101164969)]	(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-(2-phenylethylcarbamothioylsulfanyl)propan-2-yl]amino]-5-oxopentanoic acid
COC1=CC(=CC(=C1O[C@@H](CO)[C@@H](C2=CC(=C(C=C2)O)OC)O)OC)C3=CC(=O)C4=C(C=C(C=C4O3)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O	[Compound(101193641)]	2-[4-[(1R,2S)-1,3-dihydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-2-yl]oxy-3,5-dimethoxyphenyl]-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one
CCC1=NC=CC(=C1)C(=O)O	[Compound(10125075)]	2-ethylpyridine-4-carboxylic acid
CN1C2=CC=CC=C2C(=O)C3=C1C(=C(C(=C3OC)OC)OC)OC	[Compound(101253)]	1,2,3,4-tetramethoxy-10-methylacridin-9-one
C[C@H](CC[C@H]([C@H]([C@H](CO[C@H]1[C@@H]([C@H]([C@@H]([C@@]1(CO)O)O)O)N)O)O)O)[C@H]2CC[C@]3([C@H]2CC[C@@]4([C@@H]3CC[C@H]5[C@]4(CC[C@@H]6[C@@]5(CCCC6(C)C)C)C)C)C	[Compound(101259434)]	(1R,2S,3R,4R,5S)-5-[(2S,3R,4R,7R)-7-[(3R,3aS,5aR,5bR,7aS,11aS,11bR,13aR,13bS)-5a,5b,8,8,11a,13b-hexamethyl-1,2,3,3a,4,5,6,7,7a,9,10,11,11b,12,13,13a-hexadecahydrocyclopenta[a]chrysen-3-yl]-2,3,4-trihydroxyoctoxy]-4-amino-1-(hydroxymethyl)cyclopentane-1,2,3-triol
C1[C@H]2[C@H]3[C@@H]([C@@H]1[C@@H]4[C@H]2O4)C5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl	[Compound(101260859)]	(1R,2R,6S,7S,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene
C1CCC(CC1)C[C@H](C(=O)N[C@H](CCC(=O)O)C(=O)NCC(=O)O)N	[Compound(10126114)]	(4R)-4-[[(2R)-2-amino-3-cyclohexylpropanoyl]amino]-5-(carboxymethylamino)-5-oxopentanoic acid
CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4	[Compound(10126189)]	1-(2-methoxyethyl)-2-methyl-3-(pyrazin-2-ylmethyl)benzo[f]benzimidazol-3-ium-4,9-dione
COC1=CC(=CC2=C1O[C@@H]([C@H]2C(=O)NCCC3=CC=C(C=C3)O)C4=CC(=C(C=C4)O)OC)/C=C/C(=O)NCCC5=CC=C(C=C5)O	[Compound(101262727)]	(2S,3S)-2-(4-hydroxy-3-methoxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]-5-[(E)-3-[2-(4-hydroxyphenyl)ethylamino]-3-oxoprop-1-enyl]-7-methoxy-2,3-dihydro-1-benzofuran-3-carboxamide
CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN.C(=O)(C(=O)O)O	[Compound(10126593)]	2-(5-nonoxy-1H-indol-3-yl)ethanamine;oxalic acid
CC(C)[C@@H](/C=C(\C)/C(=O)O)N(C)C(=O)[C@H](C(C)(C)C)NC(=O)[C@H]1CCCCN1C(C)C	[Compound(10127315)]	(E,4S)-4-[[(2S)-3,3-dimethyl-2-[[(2R)-1-propan-2-ylpiperidine-2-carbonyl]amino]butanoyl]-methylamino]-2,5-dimethylhex-2-enoic acid
C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@]4([C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)C)C)O)C)OC1	[Compound(101274439)]	(2S,3R,4S,5S,6R)-2-[(2S,3R,4S,5R,6R)-2-[(2R,3R,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(1R,2R,4S,5'R,6R,7S,8R,9R,12S,13R,16S)-2-hydroxy-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-ene-6,2'-oxane]-16-yl]oxyoxan-3-yl]oxy-5-hydroxy-6-(hydroxymethyl)-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol
CCC(C)C1C(=NC(C(=NC(=C)C(=NC(C(=NC23CCC(=NC2C4=CSC(=N4)C(C(OC(=O)C5=NC6=C(C=CC(C6O)N1)C(=C5)C(C)O)C)N=C(C7=CSC(=N7)C(N=C(C8CSC(=N8)/C(=C\C)/N=C(C(N=C(C9=CSC3=N9)O)C(C)O)O)O)C(C)(C(C)O)O)O)C1=NC(=CS1)C(=NC(=C)C(=NC(=C)C(=N)O)O)O)O)C)O)O)C)O	[Compound(101290202)]	2-[(11E)-37-butan-2-yl-18-(2,3-dihydroxybutan-2-yl)-11-ethylidene-6,9,16,23,38,41,44,47,59-nonahydroxy-8,31-bis(1-hydroxyethyl)-26,40,46-trimethyl-43-methylidene-28-oxo-27-oxa-3,13,20,56-tetrathia-7,10,17,24,36,39,42,45,48,52,58,61,62,63,64-pentadecazanonacyclo[23.23.9.329,35.12,5.112,15.119,22.154,57.01,53.032,60]tetrahexaconta-2(64),4,6,9,12(63),16,19(62),21,23,29(61),30,32(60),33,38,41,44,47,51,54,57-icosaen-51-yl]-N-[3-hydroxy-3-(3-hydroxy-3-iminoprop-1-en-2-yl)iminoprop-1-en-2-yl]-1,3-thiazole-4-carboximidic acid
CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)N=C([C@@H](C4=CC=CC=C4)OC=O)[O-])SC2)C(=O)O.[Na+]	[Compound(101297691)]	sodium;(2R)-N-[(6R,7R)-2-carboxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-en-7-yl]-2-formyloxy-2-phenylethanimidate
[15OH2]	[Compound(10129877)]	oxidane
[F-].[F-].[F-].[Al+3]	[Compound(10129892)]	aluminum;trifluoride
[201Tl+]	[Compound(10130399)]	thallium-201(1+)
CC[C@H](C)C(=O)O[C@H]1CC[C@@H]([C@@]2([C@H]1[C@H]([C@@]3(C2)C(=C)COC3=O)OC(=O)C)C)C	[Compound(101306810)]	[(2R,3R,3aR,4S,7S,7aR)-3-acetyloxy-7,7a-dimethyl-4'-methylidene-2'-oxospiro[3,3a,4,5,6,7-hexahydro-1H-indene-2,3'-oxolane]-4-yl] (2S)-2-methylbutanoate
C[C@@H]([C@H]1C(=O)N=C(O1)N)C2=CNC3=CC=CC=C32	[Compound(138393418)]	(5S)-2-imino-5-[(1R)-1-(1H-indol-3-yl)ethyl]-1,3-oxazolidin-4-one
C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O	[Compound(10131826)]	(3R,4S,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-4,5-dihydroxycyclohexene-1-carboxylic acid
C1C[C@H](N(C1)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)N)C(=O)O	[Compound(10133081)]	(2S)-1-[(2S)-1-[(2S)-2-amino-3-phenylpropanoyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carboxylic acid
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)O)O	[Compound(101339211)]	5-hydroxy-2-(4-hydroxyphenyl)-7-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one
CC1=C(NC(=C1C(=O)NC[C@@H](CN2CCOCC2)O)C)/C=C\3/C4=C(C=CC(=C4)F)NC3=O	[Compound(10138259)]	5-[(Z)-(5-fluoro-2-oxo-1H-indol-3-ylidene)methyl]-N-[(2S)-2-hydroxy-3-morpholin-4-ylpropyl]-2,4-dimethyl-1H-pyrrole-3-carboxamide
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	[Compound(10140)]	2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid
C(COP(=O)(O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	[Compound(10143739)]	3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl dihydrogen phosphate
C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(=O)CCC(C)C	[Compound(101465)]	(2S)-2-[(3S,8S,9S,10R,13S,14S,17R)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylheptan-3-one
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@@H]([C@H](O[C@@H]2OC[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)O[C@@H]4[C@H](O[C@H]([C@@H]([C@H]4O)NC(=O)C)O[C@@H]5[C@H](OC([C@@H]([C@H]5O)NC(=O)C)O)CO)CO)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)NC(=O)C)O)CO)O)O)CO)O)O	[Compound(10148744)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4S,5R,6R)-4-[(2S,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
CC1=CC(=C2C(=C1O)C(=O)C3=C(C2=O)C(=CC(=C3)OC)O)O	[Compound(10152)]	1,4,5-trihydroxy-7-methoxy-2-methylanthracene-9,10-dione
COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O.Cl	[Compound(101526)]	7-[(4aS,7aS)-1,2,3,4,4a,5,7,7a-octahydropyrrolo[3,4-b]pyridin-6-yl]-1-cyclopropyl-6-fluoro-8-methoxy-4-oxoquinoline-3-carboxylic acid;hydrochloride
CC(C)(C[C@@H](C(=O)NC1(CC1)C#N)N[C@@H](C2=CC=C(C=C2)C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F)F	[Compound(10152654)]	(2S)-N-(1-cyanocyclopropyl)-4-fluoro-4-methyl-2-[[(1S)-2,2,2-trifluoro-1-[4-(4-methylsulfonylphenyl)phenyl]ethyl]amino]pentanamide
C[C@]12C[C@@H]3[C@]4([C@]56[C@@H]1C(=O)[C@@](O5)([C@@H]7C[C@@H]8[C@]9(O8)CC=CC(=O)[C@@]9([C@H]7CC[C@@]6(C(=O)O4)O)C)OC[C@@H]2C(=O)O3)C	[Compound(101528280)]	(1S,2R,4R,6S,11R,12S,15R,18S,19R,20R,21S,23R,26R)-15-hydroxy-11,18,21-trimethyl-5,17,24,28,29-pentaoxanonacyclo[17.9.1.11,20.02,12.04,6.06,11.015,19.018,23.021,26]triacont-8-ene-10,16,25,30-tetrone
CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)OC)O	[Compound(10154)]	(6aS)-1,10-dimethoxy-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-2,9-diol
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)O	[Compound(101543)]	[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate
C1[C@H](C([C@@H](CC1(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O)O	[Compound(10155076)]	(3R,5R)-1-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-3,4,5-trihydroxycyclohexane-1-carboxylic acid
C1CC1C(=O)NCC2=C3C(=CC=C2)C(=O)N(C3=O)C4CCC(=O)NC4=O	[Compound(10155135)]	N-[[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]methyl]cyclopropanecarboxamide
CN1CC2=CCO[C@H]3CC(=O)N4[C@H]5[C@H]3[C@H]2CC(=O)[C@@]5(C[C@@H]1O)C6=CC=CC=C64	[Compound(101575888)]	(1S,3S,10S,22R,23R,24S)-3-hydroxy-4-methyl-9-oxa-4,13-diazahexacyclo[11.6.5.01,24.06,22.010,23.014,19]tetracosa-6,14,16,18-tetraene-12,20-dione
CCCC/C=C/CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	[Compound(101589665)]	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (E)-oct-3-enethioate
C1CCN(CC1)CCC(C2CCCC2)(C3=CC=CC=C3)O.Cl	[Compound(101597)]	1-cyclopentyl-1-phenyl-3-piperidin-1-ylpropan-1-ol;hydrochloride
CC(=O)C[C@@]1(C(=O)C=C2[C@@H]3[C@]1(OC4=C3C(=CC(=C4O)O)C(=O)O[C@@H]5[C@H]6COC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O[C@@H]5[C@H]([C@@H](O6)OC(=O)C9=CC(=C(C(=C9)O)O)O)OC2=O)O)O)O)O)O)O)O)O	[Compound(101601927)]	[(8R,9S,27R,29S,30R,36S,37R,38R)-2,3,14,15,16,19,20,21,36,37-decahydroxy-6,11,24,32,35-pentaoxo-36-(2-oxopropyl)-7,10,25,28,31,40-hexaoxaoctacyclo[35.2.1.05,39.08,27.09,30.012,17.018,23.033,38]tetraconta-1(39),2,4,12,14,16,18,20,22,33-decaen-29-yl] 3,4,5-trihydroxybenzoate
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)OS(=O)(=O)O)C)O)C	[Compound(101602538)]	2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-12-hydroxy-10,13-dimethyl-3-sulfooxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid
CC1=C(OC(=O)O1)COC(=O)C2=C(CS[C@H]3N2C(=O)[C@@H]3NC(=O)[C@@H](C4=CC=CC=C4)OC(=O)[C@H](C)N)CSC5=NN=C(S5)C	[Compound(101605498)]	(5-methyl-2-oxo-1,3-dioxol-4-yl)methyl (6R,7S)-7-[[(2R)-2-[(2S)-2-aminopropanoyl]oxy-2-phenylacetyl]amino]-3-[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O	[Compound(101608815)]	(2S,3S,4S,5R,6S)-6-[[(8R,9S,13S,14S,17S)-4,17-dihydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid
CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC	[Compound(101611880)]	[(2S)-1-dodecanoyloxy-3-hexadecanoyloxypropan-2-yl] octadecanoate
CC(=CC(=O)O[C@H]1C(=C)[C@@H]2CC[C@@H]3[C@]1(C2)CC[C@H]4[C@]3(CCC[C@@]4(C)C(=O)O)C)C	[Compound(101618866)]	(1R,4S,5R,9S,10S,13R,15S)-5,9-dimethyl-15-(3-methylbut-2-enoyloxy)-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid
CC(C)[C@@]1(CC[C@]2([C@@H](CC[C@]([C@@H]2C1)(C)O)O)C)O	[Compound(101634632)]	(1R,4S,4aR,6S,8aR)-4,8a-dimethyl-6-propan-2-yl-2,3,4a,5,7,8-hexahydro-1H-naphthalene-1,4,6-triol
C[C@@H]1C(=O)O[C@@H]2C[C@]1([C@@H]3C(=O)[C@@]4([C@H]5[C@H](CC[C@]6([C@]3([C@]2(OC6=O)C)O4)O)[C@@]7(C(=C[C@H]5O)CC=CC7=O)C)O)C	[Compound(101637228)]	(1S,2S,3R,5S,6S,7R,14R,15S,18R,21S,22R,25S)-5,7,18-trihydroxy-1,14,21,25-tetramethyl-4,20,23-trioxaheptacyclo[20.3.1.12,5.03,18.03,21.06,15.09,14]heptacosa-8,11-diene-13,19,24,27-tetrone
C1[C@H]([C@@H]([C@H]([C@@H](O1)OCC2=CC=CC=C2)O)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O	[Compound(101660961)]	(2S,3R,4S,5R,6R)-2-[(3R,4R,5R,6R)-4,5-dihydroxy-6-phenylmethoxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol
C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@H]4[C@]35[C@H](O5)C[C@@H]4C6=COC(=O)C=C6)O	[Compound(101682087)]	5-[(1R,2S,4R,6S,7R,10S,11S,14S,16R)-14-hydroxy-11-methyl-3-oxapentacyclo[8.8.0.02,4.02,7.011,16]octadecan-6-yl]pyran-2-one
COC1=C(C(=C(C(=C1)O)C(=O)C2=CC(=CC=C2)O)O)C3=CC(=C4C(=C3O)C(=O)C5=C(O4)C(=CC=C5)O)O	[Compound(101689964)]	2-[2,4-dihydroxy-3-(3-hydroxybenzoyl)-6-methoxyphenyl]-1,4,5-trihydroxyxanthen-9-one
CC(=CCC[C@](C)(C=C)C1=C(C=C2C(=C1)C=CC(=O)O2)O)C	[Compound(101690203)]	6-[(3R)-3,7-dimethylocta-1,6-dien-3-yl]-7-hydroxychromen-2-one
CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)CO)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O	[Compound(10169040)]	N-[(2S,3R,4R,5R,6R)-2-[(2R,3R,4R,5R,6S)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-5-hydroxy-6-(hydroxymethyl)-4-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide
C1=CC=C(C(=C1)C(=O)O)C(=O)O	[Compound(1017)]	phthalic acid
C[C@]12CC[C@@H](C([C@@H]1[C@H](C[C@@]3([C@@H]2C[C@H]([C@H]4[C@]3(CC[C@@H]4[C@](C)(C/C=C\C(C)(C)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)(C)C)O	[Compound(101704412)]	(2S,3R,4S,5S,6R)-2-[(Z,2S)-2-[(3S,5R,6S,8R,9R,10R,12R,13R,14R,17S)-6-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-3,12-dihydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-hydroxy-6-methylhept-4-en-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol
CC(C)[C@@H]1CC[C@@]2([C@H]1[C@@H]3[C@](CC[C@H]2O3)(C)O)C	[Compound(101712280)]	(1R,2R,5S,6S,7R,8R)-2,8-dimethyl-5-propan-2-yl-11-oxatricyclo[5.3.1.02,6]undecan-8-ol
C1=CN[13C](=O)NC1=O	[Compound(10171240)]	(213C)1H-pyrimidine-2,4-dione
C1CN2CC3=CC4=C(C=C3C15C2CC(C=C5)O)OCO4	[Compound(101727)]	5,7-dioxa-12-azapentacyclo[10.5.2.01,13.02,10.04,8]nonadeca-2,4(8),9,16-tetraen-15-ol
CC(=CCCC1=CCC(CC1)C(=C)CCC=C(C)C)C	[Compound(101750)]	4-(6-methylhepta-1,5-dien-2-yl)-1-(4-methylpent-3-enyl)cyclohexene
CC1=C(N=C(O1)C2=CC=C(C=C2)C(F)(F)F)COC3=CC=C(C=C3)S(=O)(=O)N4[C@H](CC5=CC=CC=C54)C(=O)O	[Compound(10175076)]	(2R)-1-[4-[[5-methyl-2-[4-(trifluoromethyl)phenyl]-1,3-oxazol-4-yl]methoxy]phenyl]sulfonyl-2,3-dihydroindole-2-carboxylic acid
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)CO)C)C)(C)C)O	[Compound(101761)]	(3S,4aR,6aR,6bS,8aS,12aS,14aR,14bR)-8a-(hydroxymethyl)-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-ol
